Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1059.7,278.0,1756.0,6.0
2.0,1982.25,444.45,2292.0,9.0
3.0,2547.4,532.6,2993.0,12.0
4.0,3568.8,679.25,4721.0,15.0
5.0,4316.85,623.4,4799.0,16.0
6.0,4839.0,611.85,5504.0,24.0
7.0,5335.1,609.5,5647.0,22.0
8.0,5626.65,661.25,5979.0,26.0
9.0,5894.75,706.1,6354.0,25.0
10.0,6106.75,752.7,6434.0,24.0
11.0,6354.55,794.7,6462.0,25.0
12.0,6390.15,785.75,6647.0,27.0
13.0,6440.7,754.5,6625.0,26.0
14.0,6619.2,776.45,6870.0,26.0
15.0,6735.95,792.6,7073.0,28.0
16.0,6735.4,788.5,6961.0,27.0
17.0,6748.4,790.95,7167.0,30.0
18.0,6599.7,769.05,7190.0,27.0
19.0,6793.3,810.15,7200.0,27.0
20.0,6789.4,795.3,7090.0,26.0
21.0,6922.95,790.9,7200.0,27.0
22.0,7047.4,804.45,7233.0,28.0
23.0,6910.7,797.6,7233.0,28.0
24.0,6788.55,777.7,7158.0,26.0
25.0,6836.55,790.0,7123.0,27.0
26.0,6819.15,810.55,6980.0,27.0
27.0,6759.25,821.6,7129.0,26.0
28.0,6702.8,803.9,7158.0,26.0
29.0,6780.35,796.25,7141.0,26.0
